"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACIAD_RS00005",167.507640578127,0.607729946634278,0.204484325796747,2.97201237437802,0.00295854759546014,0.00691794214700532
"ACIAD_RS00010",144.8733764702,1.23529942608878,0.254398802927236,4.85575958642426,1.19926133225749e-06,4.83548319224332e-06
"ACIAD_RS00015",95.2368371421723,-1.31726152765147,0.222412299973371,-5.92261096984826,3.16869840489901e-09,1.78274713477771e-08
"ACIAD_RS00020",410.543241764544,-0.197547694927754,0.146906217035776,-1.34471977370192,0.178715746535902,0.255134372607995
"ACIAD_RS00025",180.574498943878,-3.26562150669467,0.25072648590196,-13.0246371656627,8.86213358016548e-39,4.15991195665977e-37
"ACIAD_RS00030",39.2093626203168,1.18652124833516,0.350903590831778,3.38133116712381,0.000721355469175363,0.00194234841657236
"ACIAD_RS00035",1570.9724192347,0.608203997069207,0.16318734651063,3.72702914824091,0.000193750059014178,0.000584222373537479
"ACIAD_RS00040",199.702084835079,-0.431483092031103,0.176899920996717,-2.43913671413743,0.0147223972624398,0.0289930741329826
"ACIAD_RS00045",1527.21998204575,-0.226866121097246,0.200323893763581,-1.13249656261669,0.257425728709184,0.346132499696616
"ACIAD_RS00050",83.6906329975003,-0.054610551147892,0.230871019072489,-0.236541387339505,0.81301259582948,0.864994794953895
"ACIAD_RS00055",39.5860960252079,2.71026565999574,0.470790871641828,5.75683562118357,8.57052923482206e-09,4.61546480197181e-08
"ACIAD_RS00060",101.028667219659,-1.38359298725258,0.222591292596713,-6.21584506344257,5.10491565568999e-10,3.210991947429e-09
"ACIAD_RS00065",83.8747051173489,-0.404936327810801,0.232881130569135,-1.73881124168876,0.0820679705540909,0.130487243373415
"ACIAD_RS00095",177.104887811333,-1.04619330458193,0.176213078754615,-5.93709225203883,2.90121438050192e-09,1.64106460911485e-08
"ACIAD_RS00100",35.7420778202106,-1.07780527084577,0.304565993585279,-3.53882341937819,0.000401914606061549,0.00113686684064334
"ACIAD_RS00105",75.4882852749452,0.0977476509153211,0.237866900678952,0.410934226814729,0.681120764348187,0.75930513857589
"ACIAD_RS00110",16.2511379262469,-0.987975112804871,0.438107988639326,-2.25509495015903,0.0241273695526697,0.0449795952834298
"ACIAD_RS00115",22.3805836224637,0.487157156592786,0.41691076306365,1.16849263620093,0.242608107855186,0.330447162929649
"ACIAD_RS00120",213.210996804962,1.08781140572175,0.243182492957996,4.47323075148196,7.70465556294327e-06,2.80778004002973e-05
"ACIAD_RS00125",46.1496175765227,1.81681362023996,0.362004143501619,5.01876470989022,5.20047975869823e-07,2.22421464019414e-06
"ACIAD_RS00130",71.8387587022623,2.67374107189817,0.42990325663493,6.21940176221714,4.99053959710227e-10,3.15799739092287e-09
"ACIAD_RS00135",31.4886079221658,-0.240253913687315,0.341502874766794,-0.703519447241492,0.48173209167964,0.57933673601726
"ACIAD_RS00140",40.6884535460837,0.0950928931770793,0.308335228592348,0.308407487562189,0.757772285221389,0.819248482991154
"ACIAD_RS00145",7.41435544185932,-0.747955101095579,0.629765883210482,-1.18767167456354,0.234962787516932,0.322266884753926
"ACIAD_RS00150",9.09590272143396,0.356465274962422,0.610771262948352,0.583631379842056,0.559468343350465,0.651006799279325
"ACIAD_RS00155",8.67390117142423,-0.384407135038348,0.576754429546253,-0.66650053358198,0.50509122273657,0.601026067160996
"ACIAD_RS00160",10.4565941214265,-0.0241467509282294,0.56008440268937,-0.0431127001792648,0.965611695434089,0.974437791929602
"ACIAD_RS00165",26.2147744998592,0.139104915238164,0.376097606156533,0.369863867679786,0.711483924687351,0.784143020252255
"ACIAD_RS00170",12.5079502599827,-0.263473322927187,0.494603392375055,-0.532696150064811,0.594243931620489,0.684970512639391
"ACIAD_RS00175",9.40449265515485,-0.661432014513122,0.557693685189123,-1.18601309657795,0.235617127552981,0.323023481322635
