gene,tag,target_id,LB0R1,LB0R2,LB0R3,LB1R1,LB1R2,LB1R3,M9LQR1,M9LQR2,M9LQR3,M9SFR1,M9SFR2,M9SFR3
dnaA,ACIAD0001,lcl|CR543861.1_cds_CAG66986.1_1,298.274,222.816,306.261,302.868,300.466,307.041,60.4627,59.4571,48.8814,154.061,135.488,164.693
dnaN,ACIAD0002,lcl|CR543861.1_cds_CAG66987.1_2,302.359,253.969,292.017,366.812,265.31,316.267,29.5314,55.0744,57.5752,189.685,151.612,227.946
recF,ACIAD0003,lcl|CR543861.1_cds_CAG66988.1_3,254.409,235.65,180.698,155.834,226.509,203.465,87.8677,69.7656,75.6724,50.6984,55.3793,59.9481
gyrB,ACIAD0004,lcl|CR543861.1_cds_CAG66989.1_4,582.122,543.316,423.388,438.286,618.666,383.969,90.857,98.774,114.133,149.325,150.072,158.646
N/A,ACIAD0005,lcl|CR543861.1_cds_CAG66990.1_5,48.0218,59.8179,57.9693,146.44,60.4595,63.1651,1780.57,2163.66,1451.08,269.374,476.839,277.298
N/A,ACIAD0006,lcl|CR543861.1_cds_CAG66991.1_6,52.9658,19.8072,0.0,26.448,0.0,16.8053,114.562,64.3137,44.4478,65.7663,33.9084,26.2988
N/A,ACIAD0007,lcl|CR543861.1_cds_CAG66992.1_7,51.6501,35.3978,47.6397,68.7794,44.9516,48.2762,3.95885,9.99562,8.02417,28.4585,26.7781,29.4893
N/A,ACIAD0008,lcl|CR543861.1_cds_CAG66993.1_8,101.64,113.751,106.917,118.825,110.147,99.2894,732.417,810.6,775.61,2230.71,2288.8,1691.66
adeT,ACIAD0009,lcl|CR543861.1_cds_CAG66994.1_9,79.8602,76.8591,114.045,74.9114,72.8793,103.168,135.785,147.091,146.342,203.142,185.528,169.595
N/A,ACIAD0010,lcl|CR543861.1_cds_CAG66995.1_10,4089.63,5068.02,2419.11,2056.21,4745.66,3930.6,5408.44,4538.85,4375.99,8031.07,5813.79,8484.96
anmK,ACIAD0011,lcl|CR543861.1_cds_CAG66996.1_11,132.806,112.1,132.093,129.063,128.984,134.315,37.2939,54.6878,47.646,74.2744,85.2622,77.1722
tyrS,ACIAD0013,lcl|CR543861.1_cds_CAG66997.1_12,109.179,86.1812,96.6309,128.176,99.9467,99.1496,5.53872,5.16454,5.06038,65.622,50.3207,64.9121
N/A,ACIAD0014,lcl|CR543861.1_cds_CAG66998.1_13,156.67,210.243,119.414,135.637,212.321,148.489,735.062,834.608,601.372,481.741,559.621,468.75
N/A,ACIAD0015,lcl|CR543861.1_cds_CAG66999.1_14,75.8047,90.4696,71.7418,60.0145,76.3758,78.662,26.0847,31.1571,31.7216,34.3151,34.707,43.4773
N/A,ACIAD0017,lcl|CR543861.1_cds_CAG67000.1_15,69.7947,108.469,69.366,74.804,92.4576,101.656,242.334,294.528,292.909,233.025,257.285,225.59
N/A,ACIAD0018,lcl|CR543861.1_cds_CAG67001.1_16,90.2068,95.2844,66.5658,14.0153,71.7768,102.935,117.407,179.924,193.941,132.637,156.18,131.022
N/A,ACIAD0019,lcl|CR543861.1_cds_CAG67002.1_17,74.0666,102.773,95.9737,71.6162,72.9404,72.1562,93.7209,116.357,88.1106,196.727,193.189,186.083
fkpB,ACIAD0020,lcl|CR543861.1_cds_CAG67003.1_18,223.287,204.819,161.702,234.084,207.27,134.382,53.6245,20.8452,27.4733,30.543,31.7153,34.0001
lspA,ACIAD0021,lcl|CR543861.1_cds_CAG67004.1_19,216.68,328.261,295.589,199.217,305.447,221.793,24.3742,24.8741,28.0434,77.4453,66.2924,50.4314
ileS,ACIAD0022,lcl|CR543861.1_cds_CAG67005.1_20,322.078,302.153,267.292,348.343,316.864,267.198,26.2672,22.9553,32.5829,115.345,70.055,113.389
ribF,ACIAD0023,lcl|CR543861.1_cds_CAG67006.1_21,139.424,146.576,177.714,178.835,135.618,112.916,6.93066,17.7739,14.7904,80.3073,76.1234,80.6045
N/A,ACIAD0024,lcl|CR543861.1_cds_CAG67007.1_22,11.3733,21.2072,17.7924,9.11332,16.0421,9.55698,8.47325,9.87648,14.7514,110.785,69.6074,176.221
N/A,ACIAD0025,lcl|CR543861.1_cds_CAG67008.1_23,90.1503,96.2984,74.3256,65.1322,82.8249,67.3272,23.6216,25.4222,36.0653,33.4108,45.2042,46.9418
N/A,ACIAD0026,lcl|CR543861.1_cds_CAG67009.1_24,110.027,103.895,215.605,254.11,99.6195,162.426,38.0156,41.3806,58.199,75.2458,87.4808,93.4951
N/A,ACIAD0027,lcl|CR543861.1_cds_CAG67010.1_25,7.22119,4.12577,5.3163,12.7284,5.9267,4.16154,1.22947,5.73234,9.36499,5.40696,5.75565,4.74645
N/A,ACIAD0028,lcl|CR543861.1_cds_CAG67011.1_26,16.6784,11.3811,14.0468,9.50241,13.4979,8.06157,2.01321,11.7371,9.22809,16.7387,13.5607,18.2262
N/A,ACIAD0029,lcl|CR543861.1_cds_CAG67012.1_27,31.4492,28.2525,13.9436,44.3045,26.3413,21.7246,15.5167,18.0903,31.9479,30.7536,28.4227,32.9307
