"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACIAD0001",319.113031533298,-1.79427882686132,0.215625217372446,-8.32128472136023,8.70149448959284e-17,5.36904346882314e-16
"ACIAD0002",267.286740412729,-2.15568108490503,0.259417792100289,-8.30968865879353,9.59534913832399e-17,5.89749236513364e-16
"ACIAD0003",171.841245738549,-0.691053558044185,0.217169050449691,-3.18209964363348,0.00146211505728153,0.00274244424485941
"ACIAD0004",950.004629290145,-1.63987095863328,0.18898334828326,-8.67733042900342,4.05166665729286e-18,2.7892805612324e-17
"ACIAD0005",94.8538465612076,5.1134393345972,0.397840605070977,12.8529850131435,8.27542195444498e-38,1.55311937037887e-36
"ACIAD0007",77.5549239029517,-2.29765942143845,0.366589194407149,-6.26766815959822,3.66494754853735e-10,1.37894744875158e-09
"ACIAD0008",910.410519978153,3.45167414509295,0.182006376943162,18.964578071739,3.34702223905845e-80,3.76898611419689e-78
"ACIAD0009",154.840341577318,1.39179520877983,0.230956561678677,6.02622068264157,1.67837978219976e-09,5.99312735365328e-09
"ACIAD0010",1225.16629124484,1.13926876426827,0.284306444050282,4.00718586620141,6.14465069125949e-05,0.000136919318936687
"ACIAD0011",124.252174705137,-0.87700581835727,0.22318976529174,-3.9294177186436,8.51518071725311e-05,0.00018618838281206
"ACIAD0013",90.9855076419898,-3.73218068987063,0.464251229595732,-8.03914012919385,9.04710734525652e-16,5.26301281542321e-15
"ACIAD0014",64.4754175676135,2.85306275320411,0.29358786454748,9.71791786285738,2.52899814231375e-22,2.22735506779756e-21
"ACIAD0015",132.392859315154,-0.673385259691482,0.218255579209177,-3.08530605325835,0.00203342793549462,0.00374497563120008
"ACIAD0017",119.522090360088,2.2504184805364,0.222158827840175,10.1297729305423,4.07594855276832e-24,4.00357189622383e-23
"ACIAD0018",26.0503669510471,1.97127200455742,0.396045126871734,4.97739240002278,6.44465863579277e-07,1.80819826453719e-06
"ACIAD0019",60.2763576361169,1.13009170571797,0.271624237980238,4.1604965525948,3.17556410612105e-05,7.32447229451329e-05
"ACIAD0020",47.917460794874,-1.76246586136176,0.390990264068373,-4.50769756520985,6.55348989827101e-06,1.64254003571133e-05
"ACIAD0021",73.8584832760957,-2.58515180758165,0.39314636305718,-6.57554552324744,4.84751091053077e-11,1.96961364702365e-10
"ACIAD0022",634.537533967451,-2.91351861535504,0.233782272238144,-12.4625301459435,1.19517602373913e-35,2.12903389991496e-34
"ACIAD0023",104.533853294483,-2.84538784776202,0.372737716638309,-7.63375349675998,2.2801569967862e-14,1.20829159846502e-13
"ACIAD0024",47.7631949837729,0.503406464848704,0.494394239523095,1.01822882348771,0.308569224626896,0.368250857399169
"ACIAD0025",48.8458119929299,-0.739545420632518,0.320547097791206,-2.30713497557302,0.0210472966769149,0.0331976620421774
"ACIAD0026",68.0504799224118,-1.29778529732285,0.411376883493486,-3.15473559501406,0.00160643618368059,0.00299178575732127
"ACIAD0027",7.99571394495478,0.0984278487403839,0.655437633549206,0.1501711889923,0.880629555955949,0.899457398746067
"ACIAD0028",9.33372998185474,0.131559689596934,0.644851722994969,0.204015411459108,0.838341455587118,0.866109919263193
"ACIAD0029",8.23108705940085,0.179829325500969,0.629967814221544,0.285457957440549,0.775293310053757,0.811856461839753
"ACIAD0030",10.8317879326516,0.438487444733119,0.610525869385857,0.718212719101001,0.472626136673089,0.52937485219547
"ACIAD0031",35.8083761972216,-0.67972466318299,0.365851521150981,-1.85792493371233,0.0631796750490731,0.0896111180520591
"ACIAD0032",14.5949747232917,-0.159862415071904,0.495268722870703,-0.32277914531994,0.746862507959704,0.787314439183199
"ACIAD0034",8.92013441611601,0.741270062250207,0.625563209546408,1.18496428648305,0.236031567674525,0.291503146446446
"ACIAD0035",7.6156435844097,1.21125428120227,0.659077366058125,1.83780287957187,0.0660914571740178,0.0931960485105894
"ACIAD0036",8.04076447375604,0.229053913163062,0.664461439046561,0.344721152655197,0.730304014283532,0.773219797527192
"ACIAD0037",8.276036670819,1.36945422333914,0.667050310713291,2.05299990322282,0.040072586893146,0.0593744673280495
"ACIAD0038",10.8858435481009,1.28434261335048,0.623406145531014,2.06020204092869,0.0393792298968082,0.0584295114657111
"ACIAD0039",74.6325553268222,-0.564967082503966,0.312053755214739,-1.81047999923983,0.0702213832382049,0.0984911127002047
"ACIAD0040",24.7448899897931,1.92118279754947,0.371269710940939,5.17462841954025,2.28364997540267e-07,6.78637923887335e-07
"ACIAD0041",136.268936049637,2.65113847710791,0.243015816202532,10.9093248272303,1.04026067348264e-27,1.30674976234692e-26
"ACIAD0042",381.43980127861,1.52794085328047,0.163009505633562,9.37332364356232,7.02837107106147e-21,5.65317703751449e-20
"ACIAD0043",66.4797639683829,-1.24408624916197,0.353197661252909,-3.5223513223411,0.000427736889217342,0.000865631843197869
"ACIAD0044",218.015644992013,0.818239319892248,0.174407635049039,4.69153382913643,2.71164423458571e-06,7.04268061915053e-06
"ACIAD0045",355.372211183455,1.16509889352534,0.198886311592154,5.85811504169553,4.68150320512443e-09,1.61673380128777e-08
"ACIAD0046",84.9597358348945,0.305432300252824,0.245314183094346,1.24506580255638,0.213107563269708,0.266215589140011
