"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACIAD0001",319.113031533298,0.657647229006512,0.215500204580233,3.05172438368458,0.00227530917621798,0.00584030450224614
"ACIAD0002",267.286740412729,1.28448691806397,0.258748478010504,4.96422984954454,6.89742196462215e-07,3.36649712917239e-06
"ACIAD0003",171.841245738549,-1.26801004786934,0.221498523981943,-5.72468847680769,1.03623709226726e-08,6.62729320876001e-08
"ACIAD0004",950.004629290145,-0.147403102315819,0.189707221372891,-0.777003116956109,0.437156931371173,0.540743744454025
"ACIAD0005",94.8538465612076,-3.20230466562094,0.302409374874361,-10.5893035457362,3.34068047516158e-26,1.57211425943052e-24
"ACIAD0007",77.5549239029517,1.23518396210893,0.36570282965623,3.37756194905582,0.00073131478270364,0.00205145507995069
"ACIAD0008",910.410519978153,0.661293222377374,0.164999179645192,4.00785763783427,6.12720343728687e-05,0.0002187890423303
"ACIAD0009",154.840341577318,-0.382008328881002,0.217289960778541,-1.75805788501356,0.0787376606710459,0.12984301469446
"ACIAD0010",1225.16629124484,-0.177687953016218,0.283031139738501,-0.627803545505233,0.530132643210298,0.627914434275758
"ACIAD0011",124.252174705137,-0.00107122556678128,0.220896232581316,-0.00484945150156397,0.996130712684333,0.996631444821543
"ACIAD0013",90.9855076419898,2.76204294123143,0.463359252463014,5.96091030134744,2.50836636473129e-09,1.70226609310876e-08
"ACIAD0014",64.4754175676135,-1.32912558527195,0.24054773097104,-5.52541310577551,3.28711237606333e-08,1.97791322933734e-07
"ACIAD0015",132.392859315154,-0.395677667730776,0.217005924255733,-1.82334961171145,0.0682504567459001,0.114525646684312
"ACIAD0017",119.522090360088,-0.992918292170528,0.195543223074107,-5.07774330688122,3.81944233339448e-07,1.93924342627903e-06
"ACIAD0018",26.0503669510471,-1.0230034559593,0.337249537216524,-3.03337245293981,0.00241836917894259,0.00616420211900241
"ACIAD0019",60.2763576361169,0.148169752987101,0.239035397006073,0.619865320546382,0.535346459271725,0.632901157136764
"ACIAD0020",47.917460794874,-0.942225595137371,0.408449860316518,-2.30683294739584,0.0210641347315132,0.0413544313875849
"ACIAD0021",73.8584832760957,0.537279302478287,0.398434849516588,1.34847467065232,0.177505761578896,0.256614244043219
"ACIAD0022",634.537533967451,1.1390484854972,0.234538276179821,4.85655690853585,1.19444464300767e-06,5.57113011746032e-06
"ACIAD0023",104.533853294483,1.8663277763496,0.371748668093841,5.0204020525999,5.15634388257587e-07,2.57246080091167e-06
"ACIAD0024",47.7631949837729,2.71854216765782,0.44449684902979,6.11599873787997,9.5954084304408e-10,6.82941823502931e-09
"ACIAD0025",48.8458119929299,-0.192871827781118,0.316126289753268,-0.61011005421805,0.54178890686794,0.638363386903817
"ACIAD0026",68.0504799224118,0.142604282546757,0.411102260500668,0.346882749739891,0.728679406665553,0.79554230236028
"ACIAD0027",7.99571394495478,-0.697138302420589,0.630255575620284,-1.10612000811652,0.268674579662517,0.363419540830509
"ACIAD0028",9.33372998185474,0.41067005789738,0.591078641775917,0.69478074298795,0.48719271812632,0.588561306453203
"ACIAD0029",8.23108705940085,-0.23551240725493,0.588625727317188,-0.400105527715103,0.689078793007016,0.76502304026448
"ACIAD0030",10.8317879326516,0.0791936183666877,0.558212787922396,0.141869946515266,0.887182733372767,0.918951103260294
"ACIAD0031",35.8083761972216,0.191427037404019,0.356001540916877,0.537714069750938,0.590774464250296,0.682062206437636
"ACIAD0032",14.5949747232917,-0.21189421446595,0.473736442452971,-0.447282909815377,0.654670804921768,0.736942894651315
"ACIAD0034",8.92013441611601,-0.615202268719378,0.574377173008421,-1.0710771556208,0.284134738957644,0.381548906274894
"ACIAD0035",7.6156435844097,-0.684815619251984,0.573146597340735,-1.19483500805791,0.232151499559289,0.320900341126891
"ACIAD0036",8.04076447375604,-0.271989614193954,0.623736120850559,-0.436065196646067,0.662789427481596,0.744221889191407
"ACIAD0037",8.276036670819,-0.993073629323201,0.599810971308098,-1.65564432267295,0.0977938687314165,0.155808018246668
"ACIAD0038",10.8858435481009,0.379532845497264,0.524072506577596,0.72419911507239,0.468943501777437,0.570879869152224
"ACIAD0039",74.6325553268222,0.619322895288107,0.302858088971612,2.04492769993724,0.0408619865640148,0.0732033202479197
"ACIAD0040",24.7448899897931,-1.6735813960992,0.322839313571202,-5.1839454668215,2.17240476719436e-07,1.14159870516064e-06
"ACIAD0041",136.268936049637,-2.3887038530848,0.22633207432921,-10.5539785298407,4.86906591260831e-26,2.22495142354406e-24
"ACIAD0042",381.43980127861,-1.94210209319361,0.159525584537591,-12.1742358683285,4.26368375020688e-34,3.27887679619568e-32
