target_id	length	eff_length	est_counts	tpm
lcl|NC_005966.1_cds_WP_004930068.1_1	1398	1223.31	579	217.334
lcl|NC_005966.1_cds_WP_004930066.1_2	1149	974.307	475	223.863
lcl|NC_005966.1_cds_WP_004930061.1_3	1077	902.307	283	144.018
lcl|NC_005966.1_cds_WP_004930060.1_4	2469	2294.31	1358	271.789
lcl|NC_005966.1_cds_WP_004930057.1_5	237	82.208	8	44.6848
lcl|NC_005966.1_cds_WP_004930055.1_6	1935	1760.31	131	34.1717
lcl|NC_005966.1_cds_WP_004930052.1_7	1011	836.307	128	70.2794
lcl|NC_005966.1_cds_WP_004930050.1_8	1005	830.307	133	73.5524
lcl|NC_005966.1_cds_WP_004930046.1_9	336	166.705	1010	2782
lcl|NC_005966.1_cds_WP_004930042.1_10	1131	956.307	198	95.0718
lcl|NC_005966.1_cds_WP_017385059.1_11	1233	1058.31	159	68.9873
lcl|NC_005966.1_cds_WP_004930036.1_12	255	96.136	22	105.08
lcl|NC_005966.1_cds_WP_227499412.1_13	1902	1727.31	216	57.4206
lcl|NC_005966.1_cds_WP_004930985.1_14	615	440.342	69	71.9519
lcl|NC_005966.1_cds_WP_004930982.1_15	312	144.962	23	72.8545
lcl|NC_005966.1_cds_WP_004930980.1_16	543	368.629	41	51.0714
lcl|NC_005966.1_cds_WP_004930977.1_17	483	308.977	64	95.1124
lcl|NC_005966.1_cds_WP_004930972.1_18	540	365.629	125	156.983
lcl|NC_005966.1_cds_WP_004930969.1_19	2838	2663.31	1097	189.134
lcl|NC_005966.1_cds_WP_004930967.1_20	1002	827.307	144	79.9245
lcl|NC_005966.1_cds_WP_004930964.1_21	1125	950.307	14	6.76469
lcl|NC_005966.1_cds_WP_004930959.1_22	801	626.307	65	47.6552
lcl|NC_005966.1_cds_WP_004930956.1_23	618	443.342	111	114.965
lcl|NC_005966.1_cds_WP_004930951.1_24	1110	935.307	6	2.94565
lcl|NC_005966.1_cds_WP_004930948.1_25	738	563.307	7	5.70607
lcl|NC_005966.1_cds_WP_004930944.1_26	381	209.051	7	15.3755
lcl|NC_005966.1_cds_WP_227499424.1_27	516	341.762	9	12.0921
lcl|NC_005966.1_cds_WP_004930938.1_28	1365	1190.31	51	19.6741
lcl|NC_005966.1_cds_WP_004930936.1_29	873	698.307	19	12.4937
lcl|NC_005966.1_cds_WP_004930933.1_30	801	626.307	3	2.19947
lcl|NC_005966.1_cds_WP_004930931.1_31	801	626.307	3	2.19947
lcl|NC_005966.1_cds_WP_004930930.1_32	1191	1016.31	8	3.61451
lcl|NC_005966.1_cds_WP_004930927.1_33	1008	833.307	3	1.6531
lcl|NC_005966.1_cds_WP_026057001.1_34	975	800.307	6	3.44254
lcl|NC_005966.1_cds_WP_004930920.1_35	1356	1181.31	78	30.3191
lcl|NC_005966.1_cds_WP_004930917.1_36	303	136.986	14	46.9285
lcl|NC_005966.1_cds_WP_004930916.1_37	387	214.844	70	149.609
lcl|NC_005966.1_cds_WP_004930912.1_38	747	572.307	281	225.456
lcl|NC_005966.1_cds_WP_171056892.1_39	711	536.307	73	62.5019
lcl|NC_005966.1_cds_WP_004930907.1_40	717	542.307	212	179.504
