target_id	length	eff_length	est_counts	tpm
lcl|NC_005966.1_cds_WP_004930068.1_1	1398	1242.98	54	55.1445
lcl|NC_005966.1_cds_WP_004930066.1_2	1149	993.976	40	51.0805
lcl|NC_005966.1_cds_WP_004930061.1_3	1077	921.976	47	64.7067
lcl|NC_005966.1_cds_WP_004930060.1_4	2469	2313.98	167	91.607
lcl|NC_005966.1_cds_WP_004930057.1_5	237	91.0139	154	2147.75
lcl|NC_005966.1_cds_WP_004930055.1_6	1935	1779.98	13	9.27044
lcl|NC_005966.1_cds_WP_004930052.1_7	1011	855.976	507	751.826
lcl|NC_005966.1_cds_WP_004930050.1_8	1005	849.976	92	137.389
lcl|NC_005966.1_cds_WP_004930046.1_9	336	182.661	606	4211.12
lcl|NC_005966.1_cds_WP_004930042.1_10	1131	975.976	39	50.722
lcl|NC_005966.1_cds_WP_017385059.1_11	1233	1077.98	4	4.71001
lcl|NC_005966.1_cds_WP_004930036.1_12	255	106.488	65	774.792
lcl|NC_005966.1_cds_WP_227499412.1_13	1902	1746.98	36	26.1569
lcl|NC_005966.1_cds_WP_004930985.1_14	615	459.976	99	273.194
lcl|NC_005966.1_cds_WP_004930982.1_15	312	159.669	21	166.943
lcl|NC_005966.1_cds_WP_004930980.1_16	543	388.091	33	107.932
lcl|NC_005966.1_cds_WP_004930977.1_17	483	328.217	5	19.3366
lcl|NC_005966.1_cds_WP_004930972.1_18	540	385.091	7	23.0731
lcl|NC_005966.1_cds_WP_004930969.1_19	2838	2682.98	45	21.2896
lcl|NC_005966.1_cds_WP_004930967.1_20	1002	846.976	11	16.4851
lcl|NC_005966.1_cds_WP_004930964.1_21	1125	969.976	7	9.16027
lcl|NC_005966.1_cds_WP_004930959.1_22	801	645.976	12	23.5796
lcl|NC_005966.1_cds_WP_004930956.1_23	618	462.976	14	38.3832
lcl|NC_005966.1_cds_WP_004930951.1_24	1110	954.976	4	5.31666
lcl|NC_005966.1_cds_WP_004930948.1_25	738	582.976	5	10.8866
lcl|NC_005966.1_cds_WP_004930944.1_26	381	226.916	4	22.3752
lcl|NC_005966.1_cds_WP_227499424.1_27	516	361.158	4	14.0583
lcl|NC_005966.1_cds_WP_004930938.1_28	1365	1209.98	10	10.4905
lcl|NC_005966.1_cds_WP_004930936.1_29	873	717.976	7	12.3754
lcl|NC_005966.1_cds_WP_004930933.1_30	801	645.976	7	13.7548
lcl|NC_005966.1_cds_WP_004930931.1_31	801	645.976	5	9.82483
lcl|NC_005966.1_cds_WP_004930930.1_32	1191	1035.98	4	4.90096
lcl|NC_005966.1_cds_WP_004930927.1_33	1008	852.976	4	5.95243
lcl|NC_005966.1_cds_WP_026057001.1_34	975	819.976	7	10.836
lcl|NC_005966.1_cds_WP_004930920.1_35	1356	1200.98	21	22.1951
lcl|NC_005966.1_cds_WP_004930917.1_36	303	151.007	23	193.331
lcl|NC_005966.1_cds_WP_004930916.1_37	387	232.834	141	768.678
lcl|NC_005966.1_cds_WP_004930912.1_38	747	591.976	315	675.426
lcl|NC_005966.1_cds_WP_171056892.1_39	711	555.976	18	41.0949
lcl|NC_005966.1_cds_WP_004930907.1_40	717	561.976	129	291.369
lcl|NC_005966.1_cds_WP_004930904.1_41	621	465.976	237	645.589
lcl|NC_005966.1_cds_WP_004930900.1_42	639	483.976	32	83.9262
lcl|NC_005966.1_cds_WP_004930896.1_43	636	480.976	17	44.8639
