target_id	length	eff_length	est_counts	tpm
lcl|NC_005966.1_cds_WP_004930068.1_1	1398	1236.12	950	157.642
lcl|NC_005966.1_cds_WP_004930066.1_2	1149	987.119	1050	218.187
lcl|NC_005966.1_cds_WP_004930061.1_3	1077	915.119	256	57.3814
lcl|NC_005966.1_cds_WP_004930060.1_4	2469	2307.12	1708	151.854
lcl|NC_005966.1_cds_WP_004930057.1_5	237	94.191	129	280.924
lcl|NC_005966.1_cds_WP_004930055.1_6	1935	1773.12	244	28.2267
lcl|NC_005966.1_cds_WP_004930052.1_7	1011	849.119	6703	1619.23
lcl|NC_005966.1_cds_WP_004930050.1_8	1005	843.119	672	163.489
lcl|NC_005966.1_cds_WP_004930046.1_9	336	178.705	7076	8121.94
lcl|NC_005966.1_cds_WP_004930042.1_10	1131	969.119	346	73.2331
lcl|NC_005966.1_cds_WP_017385059.1_11	1233	1071.12	319	61.0888
lcl|NC_005966.1_cds_WP_004930036.1_12	255	108.262	237	449.036
lcl|NC_005966.1_cds_WP_227499412.1_13	1902	1740.12	358	42.2
lcl|NC_005966.1_cds_WP_004930985.1_14	615	453.119	477	215.931
lcl|NC_005966.1_cds_WP_004930982.1_15	312	157.008	96	125.417
lcl|NC_005966.1_cds_WP_004930980.1_16	543	381.184	331	178.115
lcl|NC_005966.1_cds_WP_004930977.1_17	483	321.442	51	32.5444
lcl|NC_005966.1_cds_WP_004930972.1_18	540	378.184	89	48.272
lcl|NC_005966.1_cds_WP_004930969.1_19	2838	2676.12	1416	108.534
lcl|NC_005966.1_cds_WP_004930967.1_20	1002	840.119	316	77.1534
lcl|NC_005966.1_cds_WP_004930964.1_21	1125	963.119	792	168.676
lcl|NC_005966.1_cds_WP_004930959.1_22	801	639.119	140	44.9319
lcl|NC_005966.1_cds_WP_004930956.1_23	618	456.119	199	89.4918
lcl|NC_005966.1_cds_WP_004930951.1_24	1110	948.119	21	4.54323
lcl|NC_005966.1_cds_WP_004930948.1_25	738	576.119	49	17.4459
lcl|NC_005966.1_cds_WP_004930944.1_26	381	221.239	34	31.5229
lcl|NC_005966.1_cds_WP_227499424.1_27	516	354.291	38	22.0005
lcl|NC_005966.1_cds_WP_004930938.1_28	1365	1203.12	115	19.6064
